Date,Canal,Category,Subcategory,Subcategory2,Marca,Modelo,SKU,UPC,Item,URL SKU,Image,Price,Sales Price,Sales Flag,Store ID,Store Name,Store Address,Stock,UPC WM,Final Price
18/10/2022,Etiendas3b,Desayuno,Despensa,,Convento de Oaxaca,Chocolate en Polvo Convento de Oaxaca 320 gr,15731,7502261262683,Chocolate en Polvo Convento de Oaxaca 320 gr,https://www.etiendas3b.com.mx/producto/chocolate-en-polvo-convento,https://alianza-tiendas3b.s3.amazonaws.com/prod/images/products/original/1657738231~15731-1.jpg,24.0,24.0,,1ff3984b-b4b7-44da-a4ec-ad99d72b0c7d,,,True,7502261262683,24.0
18/10/2022,Etiendas3b,Despensa,Desayuno,,Lautrec,Sustituto De Crema para Café Lautrec 1 kg,14200,7501200462511,Sustituto De Crema para Café Lautrec 1 kg,https://www.etiendas3b.com.mx/producto/sustituto-crema-para-cafe-lautrec-1-kg,https://tiendas3b.s3.amazonaws.com/prod/images/products/original/14200-1.jpg,79.0,79.0,,1ff3984b-b4b7-44da-a4ec-ad99d72b0c7d,,,True,7501200462511,79.0
18/10/2022,Etiendas3b,Despensa,Desayuno,,Buenatole,Atole Sabores Surtidos Buenatole  47 gr,19090,7502261264977,Atole Sabores Surtidos Buenatole  47 gr,https://www.etiendas3b.com.mx/producto/atole-sabores-surtidos-buenatole,https://tiendas3b.s3.amazonaws.com/prod/images/products/original/1655962965~19090-3.png,4.5,4.5,,1ff3984b-b4b7-44da-a4ec-ad99d72b0c7d,,,True,7502261264977,4.5
18/10/2022,Etiendas3b,Galletas,Despensa,,Saboretas,Galletas Surtidas Saboretas 90 gr,14581,7501792402629,Galletas Surtidas Saboretas 90 gr,https://www.etiendas3b.com.mx/producto/galletas-surtidas-saboretas-90-gr,https://tiendas3b.s3.amazonaws.com/prod/images/products/original/14581-5.jpg,14.0,14.0,,1ff3984b-b4b7-44da-a4ec-ad99d72b0c7d,,,True,7501792402629,14.0
18/10/2022,Etiendas3b,Galletas,Despensa,,Cuetara,Galletas Marias Cuétara 160 gr,14225,7501008702451,Galletas Marias Cuétara 160 gr,https://www.etiendas3b.com.mx/producto/galletas-marias-cuetara-160-gr,https://tiendas3b.s3.amazonaws.com/prod/images/products/original/14225-1.jpg,11.0,11.0,,1ff3984b-b4b7-44da-a4ec-ad99d72b0c7d,,,True,7501008702451,11.0
18/10/2022,Etiendas3b,Galletas,Despensa,,Cuetara,Galletas en Barquillo sabor Chocolate Cuetara 290 gr,17487,7501008724484,Galletas en Barquillo sabor Chocolate Cuetara 290 gr,https://www.etiendas3b.com.mx/producto/galletas-barquillo-choc-cuetara-290-gr,https://tiendas3b.s3.amazonaws.com/prod/images/products/original/17487-1.jpg,35.0,35.0,,1ff3984b-b4b7-44da-a4ec-ad99d72b0c7d,,,True,7501008724484,35.0
18/10/2022,Etiendas3b,Despensa,Galletas,,Macma,Galleta MacMa Waffer Natta 70 gr,12231,850697002418,Galleta MacMa Waffer Natta 70 gr,https://www.etiendas3b.com.mx/producto/galletas-natta-macma-70-gr,https://tiendas3b.s3.amazonaws.com/prod/images/products/original/1655492212~12231-1.png,13.5,13.5,,1ff3984b-b4b7-44da-a4ec-ad99d72b0c7d,,,True,850697002418,13.5
18/10/2022,Etiendas3b,Cuidado Personal,Dental,,Oral B,Pasta Dental Oral B Kids Mickey Anticaries 50 gr,20285,7500435127363,Pasta Dental Oral B Kids Mickey Anticaries 50 gr,https://www.etiendas3b.com.mx/producto/pasta-dental-kids-mickey-oral-b,https://tiendas3b.s3.amazonaws.com/prod/images/products/original/20285-0.jpg,19.0,19.0,,1ff3984b-b4b7-44da-a4ec-ad99d72b0c7d,,,True,7500435127363,19.0
18/10/2022,Etiendas3b,Cuidado Personal,Dental,,YEMA,Pasta Dental Sabor Menta YEMA 100 ml,18391,7503027879701,Pasta Dental Sabor Menta YEMA 100 ml,https://www.etiendas3b.com.mx/producto/pasta-dental-sabor-menta-yema,https://tiendas3b.s3.amazonaws.com/prod/images/products/original/18391-1.jpg,43.0,43.0,,1ff3984b-b4b7-44da-a4ec-ad99d72b0c7d,,,True,7503027879701,43.0
18/10/2022,Etiendas3b,Cuidado Personal,Dental,,Colgate,Pasta Dental  Colgate Total Clean Mint  63 Ml,18670,7509546666396,Pasta Dental  Colgate Total Clean Mint  63 Ml,https://www.etiendas3b.com.mx/producto/pasta-dental-total-clean-mint-colgate-63-ml,https://tiendas3b.s3.amazonaws.com/prod/images/products/original/18670.png,24.0,24.0,,1ff3984b-b4b7-44da-a4ec-ad99d72b0c7d,,,True,7509546666396,24.0
